35,4U,9935,ADB,DUS,2016-10-22 03:45:00,2016-10-22 06:05:00,,,,,,,
35,4U,9216,DUS,ARN,2016-10-22 07:00:00,2016-10-22 08:55:00,,,,,,,
35,,,,,,,Q,QX,0,199.99,EUR,30,2016-02-23 13:10:18
36,4U,9935,ADB,DUS,2016-10-25 03:45:00,2016-10-25 06:05:00,,,,,,,
36,EW,1210,DUS,ARN,2016-10-25 07:00:00,2016-10-25 08:55:00,,,,,,,
36,,,,,,,S,SX,0,149.99,EUR,30,2016-02-23 13:10:18
37,4U,9935,ADB,DUS,2016-10-29 03:45:00,2016-10-29 06:05:00,,,,,,,
37,4U,9216,DUS,ARN,2016-10-29 07:00:00,2016-10-29 08:55:00,,,,,,,
37,,,,,,,G,GX,0,139.99,EUR,28,2016-02-23 13:10:18
39,4U,9537,AGP,DUS,2016-02-27 10:50:00,2016-02-27 13:50:00,,,,,,,
39,EW,1768,DUS,ZRH,2016-02-27 18:55:00,2016-02-27 20:05:00,,,,,,,
39,,,,,,,Q,QX,0,249.99,EUR,2,2016-02-23 13:10:18
40,4U,9537,AGP,DUS,2016-03-05 10:50:00,2016-03-05 13:50:00,,,,,,,
40,EW,1768,DUS,ZRH,2016-03-05 18:55:00,2016-03-05 20:05:00,,,,,,,
40,,,,,,,K,KX,0,159.99,EUR,3,2016-02-23 13:10:18
41,4U,9537,AGP,DUS,2016-03-12 10:50:00,2016-03-12 13:50:00,,,,,,,
41,EW,1768,DUS,ZRH,2016-03-12 18:55:00,2016-03-12 20:05:00,,,,,,,
41,,,,,,,K,KX,0,159.99,EUR,3,2016-02-23 13:10:18
42,4U,9537,AGP,DUS,2016-03-19 10:50:00,2016-03-19 13:50:00,,,,,,,
42,EW,1768,DUS,ZRH,2016-03-19 18:55:00,2016-03-19 20:05:00,,,,,,,
42,,,,,,,G,GX,0,169.99,EUR,11,2016-02-23 13:10:18
43,4U,9537,AGP,DUS,2016-03-26 10:50:00,2016-03-26 13:50:00,,,,,,,
43,EW,1768,DUS,ZRH,2016-03-26 18:55:00,2016-03-26 20:05:00,,,,,,,
43,,,,,,,G,GX,0,169.99,EUR,9,2016-02-23 13:10:18
44,4U,9537,AGP,DUS,2016-03-27 10:55:00,2016-03-27 13:55:00,,,,,,,
44,EW,1764,DUS,ZRH,2016-03-27 17:10:00,2016-03-27 18:20:00,,,,,,,
44,,,,,,,W,WX,0,229.99,EUR,48,2016-02-23 13:10:18
45,4U,9537,AGP,DUS,2016-03-27 10:55:00,2016-03-27 13:55:00,,,,,,,
45,4U,9768,DUS,ZRH,2016-03-27 18:55:00,2016-03-27 20:05:00,,,,,,,
45,,,,,,,W,WX,0,229.99,EUR,48,2016-02-23 13:10:18
46,4U,9537,AGP,DUS,2016-04-03 10:55:00,2016-04-03 13:55:00,,,,,,,
46,EW,1764,DUS,ZRH,2016-04-03 17:10:00,2016-04-03 18:20:00,,,,,,,
46,,,,,,,B,BX,0,409.99,EUR,28,2016-02-23 13:10:18
47,4U,9537,AGP,DUS,2016-04-03 10:55:00,2016-04-03 13:55:00,,,,,,,
